,Unnamed: 0,id,昵称,性别,地区,教育,阳光信用,注册时间,微博数,粉丝数,关注数,个人简介,is_spammer,follow_ratio,like_count,repost_count,comment_count,tweet_count,ave_like,ave_repost,ave_comment,att_count,jing_count,zhuanfa_count,url_count,ave_att,ave_jing,ave_zhuanfa,ave_url,fan_fan_ave,followed_fan_ave,mutual,sina_helper_fan,has_intro,theme_num,most_theme_pct,most_theme_,most_theme_0,most_theme_1,most_theme_2,most_theme_3,most_theme_4,most_theme_5,most_theme_6,most_theme_7,most_theme_8,simiscore
0,0,6529218955,布丁茶lcsxyk,女,海外,,,,8931,144,222,,no,0.6486486486486487,0,0,40,10,0.0,0.0,4.0,9,9,0,0,0.9,0.9,0.0,0.0,42.0,6872.243902439024,1,False,0,2,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.211380455229017
1,1,2563367947,august_shilme,女,其他,,,,4667,188,293,不惧流言❤️❤️❤️,no,0.6416382252559727,0,0,0,10,0.0,0.0,0.0,1,0,0,0,0.1,0.0,0.0,0.0,26450.5,101364.0,1,False,1,5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.057581827044487
2,2,7343042580,小葵葵有点困,女,其他,,,,283,4,36,给蔡困做积分的小号 💛,no,0.1111111111111111,0,0,188,10,0.0,0.0,18.8,9,9,1,0,0.9,0.9,0.1,0.0,105.0,41.5,1,False,1,3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.9951918787426415
3,3,7290404537,日常伤感患者,男,海外,,,,110,24,84,追星号,no,0.2857142857142857,1,0,151,10,0.1,0.0,15.1,0,3,0,0,0.0,0.3,0.0,0.0,38.72727272727273,48.17391304347826,21,False,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.109253797266218
4,4,7249230086,·挽歌·,女,其他,,,,484,32,128,花花世界，静守己心,no,0.25,1,0,10,11,0.0909090909090909,0.0,0.9090909090909092,0,1,0,0,0.0,0.0909090909090909,0.0,0.0,19954.33333333333,168.16666666666666,4,False,1,2,0.9090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.911961813767751
5,5,6892834054,Kunming201812,男,广东,,,,727,62,303,,no,0.2046204620462046,3,0,11,10,0.3,0.0,1.1,7,0,3,0,0.7,0.0,0.3,0.0,108.06666666666666,161.68571428571428,9,False,0,4,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0411233107248945
6,6,6582087265,沦陷于蔡徐坤的IKUN,女,其他,,,,3982,148,211,高冷的小猫咪,no,0.7014218009478673,1,0,0,10,0.1,0.0,0.0,4,1,1,0,0.4,0.1,0.1,0.0,142.14754098360655,141.9322033898305,60,False,1,5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.44887559943729
7,7,6242181166,啊哦额阿呼A,女,其他,,,,18,7,68,,no,0.1029411764705882,1,0,17,10,0.1,0.0,1.7,0,0,1,0,0.0,0.0,0.1,0.0,464.75,660.5,2,False,0,4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.929598702324761
8,8,5750111375,802号系列,女,广东,,,,2925,20,224,如果你有眼睛的话，就不要用耳朵去了解他,no,0.0892857142857142,0,0,9,10,0.0,0.0,0.9,0,0,6,0,0.0,0.0,0.6,0.0,450.1,338.3333333333333,9,False,1,4,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.667832791805267
9,9,6531540402,用户6531540402,女,湖南 岳阳,,,,384,7,108,,no,0.0648148148148148,0,0,0,9,0.0,0.0,0.0,4,1,4,0,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.0,141.5,106228.5,1,False,0,5,0.4444444444444444,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.434714317321777
